"nconst","primaryName","knownForTitles"
"nm0000357","Lolita Davidovich","tt0329717,tt0096943,tt0092513,tt0110146"
"nm0000358","Daniel Day-Lewis","tt0469494,tt0104691,tt0443272,tt0217505"
"nm0000359","Olivier De Funès","tt0250077,tt0064425,tt0065848,tt0060475"
"nm0000360","Rebecca De Mornay","tt0104389,tt0089941,tt0086200,tt0396269"
"nm0000361","Brian De Palma","tt0086984,tt0080661,tt0074285,tt0094226"
"nm0000362","Danny DeVito","tt0117008,tt0098621,tt0103776,tt0119488"
"nm0000363","Loren Dean","tt2935510,tt7959026,tt0112384,tt0119177"
"nm0000365","Julie Delpy","tt0111507,tt0841044,tt0112471,tt0381681"
"nm0000366","Catherine Deneuve","tt0061395,tt0283832,tt0168629,tt0059646"
"nm0000367","Gérard Depardieu","tt0099334,tt0120744,tt0103594,tt0099699"
"nm0000368","Laura Dern","tt0107290,tt7653254,tt2305051,tt0090756"
"nm0000369","Matt Dillon","tt0129387,tt0375679,tt0097240,tt4003440"
"nm0000370","Walt Disney","tt0029583,tt0048280,tt0034492,tt0058331"
"nm0000372","Amanda Donohoe","tt0095488,tt0119528,tt0090466,tt0110428"
"nm0000373","Michael Dorn","tt0092455,tt0117731,tt0120844,tt0111280"
"nm0000374","Brad Dourif","tt0073486,tt0167261,tt0095647,tt0087182"
"nm0000375","Robert Downey Jr.","tt0371746,tt1300854,tt0988045,tt4154796"
"nm0000376","Fran Drescher","tt0106080,tt0118691,tt0837562,tt0098546"
"nm0000377","Richard Dreyfuss","tt0076095,tt0075860,tt0073195,tt0113862"
"nm0000378","Minnie Driver","tt0112679,tt0496343,tt0119217,tt5592146"
"nm0000379","Kirsten Dunst","tt0145487,tt1527186,tt0110148,tt0422720"
"nm0000380","Robert Duvall","tt0118632,tt1872194,tt0086423,tt0068646"
"nm0000381","Anthony Edwards","tt0108757,tt0092099,tt0443706,tt0088000"
"nm0000382","Atom Egoyan","tt0120255,tt0273435,tt1352824,tt2326612"
"nm0000383","Jennifer Ehle","tt1790885,tt2392830,tt4919484,tt0112130"
"nm0000384","Danny Elfman","tt0107688,tt0367594,tt0121164,tt0119654"
"nm0000386","Roland Emmerich","tt0116629,tt0120685,tt0319262,tt1628841"
"nm0000387","Robert Englund","tt0087800,tt0329101,tt0095742,tt0093629"
"nm0000388","R. Lee Ermey","tt0093058,tt0114369,tt0324216,tt0095647"
"nm0000389","Emilio Estevez","tt1441912,tt0308055,tt3294746,tt0100994"
"nm0000390","Joe Eszterhas","tt0103772,tt0114436,tt0108162,tt0118577"
